"additionalInfo/info/Accessibility/0","additionalInfo/info/Accessibility/1","additionalInfo/info/Accessibility/2","additionalInfo/info/Accessibility/3","additionalInfo/info/Amenities/0","additionalInfo/info/Crowd/0","additionalInfo/info/Crowd/1","additionalInfo/info/From the business/0","additionalInfo/info/Parking/0","additionalInfo/info/Parking/1","additionalInfo/info/Parking/2","additionalInfo/info/Planning/0","additionalInfo/info/Planning/1","additionalInfo/info/Service options/0","additionalInfo/info/Service options/1","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","cid","city","country","country_code","country_name","display_rank","gid","isClaimed","language_code","language_name","latitude","longDescription","longitude","name","neighborhood","original_rank","phone","phoneIsd","photo","photoCount","placeId","priceRange","priceRangeText","providerId","rating","reviewCount","searchLocation","searchTerm","shortDescription","social/facebook/0","social/instagram/0","social/linkedin/0","social/twitter/0","social/youtube/0","state","status","street","timestamp","uncertain_emails/0","uncertain_emails/1","uncertain_emails/2","uncertain_emails/3","uncertain_emails/4","uncertain_emails/5","uncertain_emails/6","uncertain_emails/7","url","website","website_emails/0","website_emails/1","website_emails/2","website_emails/3","website_emails/4","website_emails/5","website_emails/6","website_emails/7","website_emails/8","website_emails/9","website_emails/10","website_emails/11","zip"
"Wheelchair accessible restroom","Wheelchair accessible seating","Wheelchair accessible entrance","Wheelchair accessible parking lot","Gender-neutral restroom","LGBTQ+ friendly",,"Identifies as women-owned",,,,,,"Onsite services",,"Toruńska 7, 61-045 Poznań, Poland","Accountant","Accounting firm",,,,,,,,"17909870924395620156","Poznań","PL","us","United States","44","0x47045b9cbaac2495:0xf88ca4b715b2a73c","Yes","en","English","52.411117999999995","","16.9835714","Mega Lex Corp.","Nowe Miasto","43","731 317 777","+48 731 317 777","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepeDA4zbQqW-_Y36cWD3tTL3J7I3FuXPXtQO7_PAZi-8GPaaudpuUdcWTh74TvYxF-c-r9h8De_kL1kF9qyteM8rjKNw9jPPuYwIzkI4InI2sF4kS-0VkGo7Hh0_xIXwc6nWIFelw=w5472-h3648-k-no","27","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/1jkyqw5st","4.8","24","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Toruńska 7","2026-03-04 15:53:21.058263",,,,,,,,,"https://google.com/maps?cid=17909870924395620156","https://megalex.pl",,,,,,,,,,,,,"61-045"
,,,,,,,,,,,,,,,"Bychawska 17, 61-315 Poznań, Poland","Bookkeeping service",,,,,,,,,"4797716992233208080","Poznań","PL","us","United States","45","0x47045bce7cdde7ef:0x4294ea2f5eea7910","Yes","en","English","52.358714299999995","","16.983213499999998","Biuro Rachunkowe JW","Nowe Miasto","44","665 106 769","+48 665 106 769","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep48d9RqhBbQWaHGuUq8HlwDhYWJLoSdFHgOZg31r29EhWPtZKPtLNnZkSpfJve6-fBqJ_HBKJ2L1WbNJeH3S3fz0lxLmIY2FGoX4JEWPCG4LEjIMpDdvEdrFtpgfUkgYx65vw=w3000-h2000-k-no","2","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11sk9xkyvh","5","2","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Bychawska 17","2026-03-04 15:53:21.058278","biuro@jw-tax.pl","cecylia@biurorachunkoweglowacka.pl","biuro@efkasc.pl",,,,,,"https://google.com/maps?cid=4797716992233208080","https://biurorachunkowejw.pl","biuro@biurorachunkowejw.pl",,,,,,,,,,,,"61-315"
,,,,,,,,,,,,,,,"Jackowskiego 9, 60-508 Poznań, Poland","Bookkeeping service",,,,,,,,,"8471618088016079548","Poznań","PL","us","United States","46","0x470445a6d4617d7f:0x75913bc438f8eabc","Yes","en","English","52.409950599999995","","16.9010533","Grakon Sp. z o. o.","Jeżyce, Poznań","45","609 610 148","+48 609 610 148","https://lh3.googleusercontent.com/gps-cs-s/AHVAwer_RridbCoF1XB0-YJcGwVgQXJaeoU1RrnxF6fbC600vWfcBMV5rWWLpY9aGXeZadoYkazRxQV-HccdkMPqlBCD5LgstTTC-GjS9N1sRr6qT6Vjh9KHfqF1FU5Fe0DKzU1szzq-=w639-h960-k-no","2","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11j985jyf0","4.8","33","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Jackowskiego 9","2026-03-04 15:53:21.058291",,,,,,,,,"https://google.com/maps?cid=8471618088016079548","https://grakon.com.pl",,,,,,,,,,,,,"60-508"
,,,,,"Transgender safespace","LGBTQ+ friendly","Identifies as women-owned",,,,,,,,"Półwiejska 45/4, 61-886 Poznań, Poland","Accounting firm",,,,,,,,,"4923982491761135839","Poznań","PL","us","United States","47","0x47045b892afa2f7f:0x44557ffce5aa50df","Yes","en","English","52.4006191","","16.9282207","Biuro rachunkowe MOLARD","Stare Miasto","46","518 049 002","+48 518 049 002","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerckuLI9tZ4bCGvAHkK3Z7rK-56vw5Zyj2a5Umm4N0PEzAdFRBWBU_SUBqQVHkzO81kzpdb2BWuQeqxEF5mU9MEqBmEmwGogzBIkN9cEpkyLAMtDa1MrIuN8F6W_iqL6yhdtCmI4PkXl8lp=w3064-h4400-k-no","4","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11yrdwj6v3","5","1","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Półwiejska 45/4","2026-03-04 15:53:21.058306","iod@mol.com.pl","info@cosmopolite.ch","honoraryconsul@raschwartz.info","scheduling@raschwartz.info","emailinfo@tourdumolard.com","hurt2@morad.pl","handlowy1@morad.pl","handlowy3@morad.pl","https://google.com/maps?cid=4923982491761135839","https://molard.pl","biuro@molard.pl",,,,,,,,,,,,"61-886"
,,,,,,,,,,,,,,,"Andersia Business Centre, Pl. Władysława Andersa 7, 61-894 Poznań, Poland","Accounting firm","Insurance agency",,,,,,,,"14543195920835710345","Poznań","PL","us","United States","48","0x471b2b27dad81db7:0xc9d3cfa308528d89","Yes","en","English","52.4005747","","16.9257851","Biuro Rachunkowe PUnKT Sp. z o.o.","Stare Miasto","47","514 533 315","+48 514 533 315","https://lh3.googleusercontent.com/gps-cs-s/AHVAweowEjjp7PxeiTib012_5VbTfB7tc1OwG5wUtpY8JbiOJjz0hi4MXvfKPr_IWLx0PjZJk0ZzQ0pXZrFY2W0MuiT5cFWGGIUEj_lhc4S9S5Vs9Z-PpfCzIdVcg-GPWq-77uks0Fg=w3054-h957-k-no","2","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11g9gplzfm","4.6","10","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Andersia Business Centre, Pl. Władysława Andersa 7","2026-03-04 15:53:21.058317",,,,,,,,,"https://google.com/maps?cid=14543195920835710345","https://brpunkt.pl",,,,,,,,,,,,,"61-894"
,,,,,,,,,,,,,,,"Mostowa 39/3, 61-854 Poznań, Poland","Accounting firm",,,,,,,,,"9701987857319556621","Poznań","PL","us","United States","49","0x47045b40765bffff:0x86a4628d8aaf760d","Yes","en","English","52.4076056","","16.9388462","Biuro Rachunkowe M-Team","Stare Miasto","48","503 132 350","+48 503 132 350","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoYgzbhxn9mXO9akep06vunsm1zds_Dv2Ef2Ue90eDUUSFtWm6lXR3iq_X7v90OCoq4BrbDEyF73ThjSFfhyKN5DUQkqWxehEe5zcT4gHP3z5mNEGTfu2cOKjd7Fh_WLUDj_sc=w1476-h1476-k-no","2","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11fm163pk7","5","12","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Mostowa 39/3","2026-03-04 15:53:21.058329",,,,,,,,,"https://google.com/maps?cid=9701987857319556621","https://m-team-biurorachunkowe.pl",,,,,,,,,,,,,"61-854"
,,,,,,,,,,,,,,,"Wagrowska 6, 61-369 Poznań, Poland","Accounting firm","Garden",,,,,,,,"16378479550635247748","Poznań","PL","us","United States","50","0x47045afbe6055555:0xe34c0c5fd89d0884","Yes","en","English","52.378191799999996","","16.9460966","BIURO RACHUNKOWE DM SP. Z OO","Nowe Miasto","49","502 497 149","+48 502 497 149","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoYL2FAsrtnHl5seAYd0HALeuA6JE9K2zVaypcjDye0okgd3NP5mwi8C-AWsG1Ejvd9kiqUQ-jylFoSwwrBt0cwWmn1Dw8sZ1_qdHtCQlmuyQekE31oIM3ky7nCb23z0R2eMBCb=w2734-h3166-k-no","5","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11fm16ftz1","4.4","7","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Wagrowska 6","2026-03-04 15:53:21.058345",,,,,,,,,"https://google.com/maps?cid=16378479550635247748","",,,,,,,,,,,,,"61-369"
,,,,,,,,,,,"Appointments recommended",,,,"Zgoda 14/10, 60-128 Poznań, Poland","Accountant",,,,,,,,,"11664572350052586182","Poznań","PL","us","United States","51","0x4704452e13c74961:0xa1e0e2c035ba52c6","Yes","en","English","52.3837056","","16.8838504","Księgowy EXPERT","Grunwald","50","507 548 604","+48 507 548 604","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerr_EN8SqerAOCng0WWV4o7wJTdLcW5CbEay868xV7BuUNt21faEz_arvukh2le6wdBd-tImTgP7UXF4hMuJP5_zvgqZCevIzY4FzUfjYZ_NO7x1K9V19jjIvBZwFKKMJ1MShx6=w2048-h1536-k-no","3","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/1pp2vgjsj","4.4","39","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Zgoda 14/10","2026-03-04 15:53:21.058357","biuro@ksiegowyexpert.pl","biuro@ksiegowy-ekspert.pl","faktury@firmaoptimal.pl","r.szymanska@rsarchitektura.pl",,,,,"https://google.com/maps?cid=11664572350052586182","https://ksiegowyexpert.pl",,,,,,,,,,,,,"60-128"
,,,,,,,,,,,,,,,"Jana Kochanowskiego 11/2A, 60-845 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Tax preparation",,,,,,"6734646103682207015","Poznań","PL","us","United States","52","0x470444cadb5ae4a1:0x5d7644f319f24d27","Yes","en","English","52.4097764","","16.908750599999998","Biuro rachunkowe - LK PROGRES Lucyna Kaczmarek","Jeżyce, Poznań","51","608 319 654","+48 608 319 654","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepcN5ldtSVSQZj5SgBk8_6Lh1fGG9SefaVNftWjtsUN_l7mSUf2vm9IORZfFYg_MdKhjXNnJhgmVXxQMlSzLOzw93qao2a-CvapVuPi7rOLoIjsiP7pM2X7Kh9CsqDcnigmKCKS=w2119-h1414-k-no","14","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/1tqf_0k2","5","2","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Jana Kochanowskiego 11/2A","2026-03-04 15:53:21.058370","logistyka@grupaprogres.pl","progres-ltd@progres-ltd.pl","biuro@proprogress.pl","iod@grupaprogres.pl","office@progressholding.pl",,,,"https://google.com/maps?cid=6734646103682207015","https://lkprogres.pl","lucyna@lkprogres.pl",,,,,,,,,,,,"60-845"
"Wheelchair accessible entrance",,,,,,,"Identifies as women-owned",,,,,,,,"Marcelińska 86, 60-324 Poznań, Poland","Bookkeeping service","Accountant","Accounting firm","Tax consultant",,,,,,"5558606875532970201","Poznań","PL","us","United States","53","0x4704452bff9baa85:0x4d242380a62fc8d9","Yes","en","English","52.404024799999995","","16.867953699999997","Biuro rachunkowe Adler","Grunwald","52","533 321 741","+48 533 321 741","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqNjg14lBkDGDQGjw1C46rZVbQwsMBQVB00f7XuJSqh4ZEMIF284F6-NKrbZDsEm0tC5F5GomzkX7cemerY2LZ8wJkGZvmqlyM4cLM75OicpC2pLktRGq_l_J6idSRS2LIgf891cA=w900-h600-k-no","21","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11_r1b174","5","3","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Marcelińska 86","2026-03-04 15:53:21.058383",,,,,,,,,"https://google.com/maps?cid=5558606875532970201","https://biuroadler.pl",,,,,,,,,,,,,"60-324"
,,,,,,,,,,,"Appointments recommended",,,,"Szczepankowo 108, 61-306 Poznań, Poland","Accountant","Association / Organization","Bookkeeping service","Income tax help association","Legal services","Tax consultant","Tax preparation","Tax preparation service",,"9285125771964001447","Poznań","PL","us","United States","54","0x4704598ee631a2bf:0x80db64b1e4bd2ca7","Yes","en","English","52.3591693","","17.0196784","Renata Pempera Biuro Rachunkowe","Nowe Miasto","53","663 705 354","+48 663 705 354","https://lh3.googleusercontent.com/gps-cs-s/AHVAweoBDF8P7za_1v9roVEO1d4oDp_U5RxhQZevS_D2GbmKshebrIp2L3RR6GnILsLwQdZqRl9iU11CITRDK-6b-JLQ9tvUH5bjkw-i5z0mxKWNC0yS46u624R_Bw12d3LSRN_BkFLc=w2121-h1414-k-no","19","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11b66h23dk","5","2","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Szczepankowo 108","2026-03-04 15:53:21.058394",,,,,,,,,"https://google.com/maps?cid=9285125771964001447","https://pempera.pl",,,,,,,,,,,,,"61-306"
,,,,,,,,,,,,,,,"Ptasia 20B, 60-319 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Tax preparation","Tax preparation service",,,,,"7290774711526675184","Poznań","PL","us","United States","55","0x470444c7d01e8cab:0x652e08f8d1f2d2f0","Yes","en","English","52.400826599999995","","16.8576503","G-TAX","Grunwald","54","608 640 562","+48 608 640 562","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqDTqAAOwurWdBfFCoyI2-Ydgj-YnXiIqAeV6v3wGU3TXAprPWp9W5l2TlXTq2dWHI_-fiVxUvkGkhn2FfEyuu752ZTpy_xCSFUvkFk_h5s0Ehyp81-gAbfhgV0d_HYVSpOt6k=w3529-h2447-k-no","4","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/12hnbwjlk","4.9","29","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Ptasia 20B","2026-03-04 15:53:21.058409","info@gtaxfile.com","dol.ctfmla@ct.gov","1099helpdesk@usda.gov",,,,,,"https://google.com/maps?cid=7290774711526675184","https://g-tax.pl","biuro@g-tax.pl",,,,,,,,,,,,"60-319"
,,,,,,,,,,,,,,,"I piętro, Biurowiec Sigma, Marcelińska 92, 60-324 Poznań, Poland","Accountant","Accounting firm",,,,,,,,"8961282069448678243","Poznań","PL","us","United States","56","0x470445c6874c0001:0x7c5cde903190db63","No","en","English","52.4044792","","16.864351499999998","Biuro Rachunkowe Agnieszka Miśkiewicz","Grunwald","55","509 099 518","+48 509 099 518","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SmrT1kj2GkAMzafKBbPusg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=205.49042&pitch=0&thumbfov=100","1","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11h48wk93h","5","21","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","I piętro, Biurowiec Sigma, Marcelińska 92","2026-03-04 15:53:21.058420","magda.miskiewicz@miskiewiczdesign.pl","m.miskiewicz@mimuw.edu.pl","mrajchel@prz.edu.pl","siwowski@prz.edu.pl","m.miskiewicz@mimuw.edu","sales@harvardapparatus.co.uk",,,"https://google.com/maps?cid=8961282069448678243","https://br-miskiewicz.pl","biuro@br-miskiewicz.pl",,,,,,,,,,,,"60-324"
"Wheelchair accessible parking lot",,,,"Gender-neutral restroom",,,"Identifies as women-owned",,,,,,,,"Limanowskiego 21, 60-744 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service",,,,,,,"12709133193309338127","Poznań","PL","us","United States","57","0x47044569417431b1:0xb05fe94dae543a0f","Yes","en","English","52.3974729","","16.8971297","Marta Sowa","Grunwald","56","606 553 563","+48 606 553 563","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo6TGLf2_nLkXiABG-PJ-aA0lf7DjdRLB2XngeHCAuzSmDec4sqVHW-SY7kUrxC3iWk1AEc_3aL1A244fNWhumPWO3CtCvQxDoYF_VeIeoKohqkH1Pc_jUJHc8q7eZ6xyHQL9a2=w8688-h5792-k-no","13","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11g1s_jxjq","4.7","14","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Limanowskiego 21","2026-03-04 15:53:21.058434",,,,,,,,,"https://google.com/maps?cid=12709133193309338127","https://ksiegowa-sowa.pl",,,,,,,,,,,,,"60-744"
"Wheelchair accessible seating","Wheelchair accessible entrance","Wheelchair accessible restroom",,"Gender-neutral restroom","Transgender safespace","LGBTQ+ friendly",,,,,,,,,"plac Wolności 18, 61-739 Poznań, Poland","Accounting firm","Bookkeeping service",,,,,,,,"8342484576221328251","Poznań","PL","us","United States","58","0x47045b39cf1ae4a9:0x73c675858dd8f37b","Yes","en","English","52.408489499999995","","16.9278335","PG Partner Gospodarczy | Poznań","Stare Miasto","57","536 169 066","+48 536 169 066","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqx45Kr1O_PME-ojJO73E9CqbCZcbao-mp5FrfFztPmwTPHhPmCS4dfFlmyLOk0F6a4scgRKBbbzTA4yvyEEaqqzCu-jQg7gN2WHRbliDmvhr6Bq-RgZ4A6P7k-WgOi7Po5uU7a=w2048-h1365-k-no","16","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11fy94ws4f","4.7","61","Poznan, Polska","biuro rachunkowe","","https://www.facebook.com/pg.partnergospodarczy",,"https://www.linkedin.com/company/partner-gospodarczy/",,,"","Open","plac Wolności 18","2026-03-04 15:53:21.058448",,,,,,,,,"https://google.com/maps?cid=8342484576221328251","https://partner-gospodarczy.pl","bilans@partner-gospodarczy.pl","zapytania@partner-gospodarczy.pl","gdansk@partner-gospodarczy.pl","katowice@partner-gospodarczy.pl","krakow@partner-gospodarczy.pl","lodz@partner-gospodarczy.pl","poznan@partner-gospodarczy.pl",,,,,,"61-739"
"Wheelchair accessible restroom","Wheelchair accessible seating","Wheelchair accessible parking lot",,"Gender-neutral restroom",,,"Identifies as women-owned","Paid street parking","Paid parking lot",,,,"Onsite services","Online appointments","Ulica Karola Libelta 27/W4, 61-707 Poznań, Poland","Accountant","Accounting firm","Auditor","Bookkeeping service","Certified public accountant","Income tax help association","Occupational safety and health","Tax preparation","Tax preparation service","18080243295856534969","Poznań","PL","us","United States","59","0x47044fa6cbe43b3d:0xfae9ed7bfe2aa5b9","Yes","en","English","52.412055599999995","","16.9187431","SmcTax","Stare Miasto","58","513 669 044","+48 513 669 044","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerJzj80Y3yLuasp1rgGyruvnVg6IXMhm5IPY3mUfGyeGZ_YAVl-_mMO8ESvyKj1EZgGSlJYyhrZLkfl35qbiswvYx-mWLhSepegtbfUnam7PX-UqejJVu006LHzjSy087PIMKU8=w3024-h4032-k-no","34","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11stvtmdxg","4.8","17","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Ulica Karola Libelta 27/W4","2026-03-04 15:53:21.058466",,,,,,,,,"https://google.com/maps?cid=18080243295856534969","https://smctax.pl",,,,,,,,,,,,,"61-707"
,,,,,,,,,,,,,,,"Strzelecka 29A/39, 61-846 Poznań, Poland","Accounting firm",,,,,,,,,"11952003219968864486","Poznań","PL","us","United States","60","0xa67da9e496dcfd89:0xa5de0b9aa891b0e6","Yes","en","English","52.402579499999995","","16.934635999999998","KANCELARIA RACHUNKOWA KMN PRESTIGE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Stare Miasto","59","669 787 648","+48 669 787 648","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep7UpJ7zeuVvU63A1C0By9NHocKnroScHVz-oAXhPOeKeQCfkwd2_73IdJJkTsVdDNob-mXlGg5VAtO4EWQcpnB6ETNYTEwxipYqprthzM1ineJK6bHkrlUg5rFuQvKqGk9ePoi=w1170-h1170-k-no","2","YEeoaffoGPCA5OMPjM_WkQ4","","","/g/11y3y8snws","5","19","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Strzelecka 29A/39","2026-03-04 15:53:21.058477",,,,,,,,,"https://google.com/maps?cid=11952003219968864486","https://kmnprestige.pl",,,,,,,,,,,,,"61-846"
,,,,,,,,"Paid street parking",,,,,,,"Wysoka 5A/4, 61-850 Poznań, Poland","Bookkeeping service",,,,,,,,,"7060121717844894294","Poznań","PL","us","United States","61","0x470444afacd502fb:0x61fa974bd72a6256","Yes","en","English","52.405152099999995","","16.9283662","Biuro Rachunkowe Krzysztof Bejgerowski","Stare Miasto","80","61 821 50 21","+48 61 821 50 21","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerP6AaY-kwnEoI3DkiRCa9a_OQyRyfFr43D1M5m4YrZPi48LAdM7xNmRcp45WeYOCfxpd1OrGDgHLGbtYlq-KUSQybJHyVIcSb7f6F6Uz6inzbcysF74lWnNjZKyAl1bamU2uY1jg=w842-h546-k-no","3","YEeoaaLSGLvcptQPrO6x0A4","","","/g/11gfp0f20x","5","1","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Wysoka 5A/4","2026-03-04 15:53:21.136348",,,,,,,,,"https://google.com/maps?cid=7060121717844894294","https://brkb.pl",,,,,,,,,,,,,"61-850"
"Wheelchair accessible restroom","Wheelchair accessible entrance","Wheelchair accessible seating",,,"Transgender safespace","LGBTQ+ friendly",,,,,"Appointment required",,"Onsite services","Online appointments","Stęszewska 46, 60-111 Poznań, Poland","Bookkeeping service",,,,,,,,,"3106199397132748382","Poznań","PL","us","United States","62","0x47044537783ff603:0x2b1b6fe4f3a1465e","Yes","en","English","52.3759855","","16.873620499999998","Hencel biuro rachunkowe Poznań","Grunwald","81","797 335 345","+48 797 335 345","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aJU60Y1xR39Xv8fW5C9h6g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=333.57687&pitch=0&thumbfov=100","1","YEeoaaLSGLvcptQPrO6x0A4","","","/g/1wd3trl8","5","11","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Stęszewska 46","2026-03-04 15:53:21.136403",,,,,,,,,"https://google.com/maps?cid=3106199397132748382","",,,,,,,,,,,,,"60-111"
,,,,,,,,,,,,,,,"Jasielska 9/2, 60-476 Poznań, Poland","Accounting firm",,,,,,,,,"16152869361987526978","Poznań","PL","us","United States","63","0x470443b886f75ca9:0xe02a851a688ea142","Yes","en","English","52.4454922","","16.8958428","Biuro Rachunkowe KMT Finance","Jeżyce, Poznań","82","503 074 732","+48 503 074 732",,"0","YEeoaaLSGLvcptQPrO6x0A4","","","/g/1tmqkh0v","5","3","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Jasielska 9/2","2026-03-04 15:53:21.136418",,,,,,,,,"https://google.com/maps?cid=16152869361987526978","https://kmtfinance.pl",,,,,,,,,,,,,"60-476"
,,,,,,,,,,,,,,,"Święty Marcin 11/4, 61-803 Poznań, Poland","Accounting firm",,,,,,,,,"18082595111850639897","Poznań","PL","us","United States","64","0x47045b818447be3b:0xfaf24872d3128219","Yes","en","English","52.405781","","16.929012099999998","Invoice-Tax - Profesjonalne Biuro Rachunkowe w Poznaniu | Centrum Finansowe | Spółki | Doradztwo Podatkowe | Wirtualne Biuro","Stare Miasto","83","532 168 164","+48 532 168 164","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepCzYGrWA3sDNGK4Jl5JD3MU7xB2iMnrz6Tfq1wPsWi8m2DsovmDIpYj8UPQxK9LFglTypB9nBut2Dlfd8iWc-XCWTeK1cQeacEel77ZPL85Q3TPedSIVv9y0kff2inRQYrvijtAYk1m2A=w1170-h1164-k-no","4","YEeoaaLSGLvcptQPrO6x0A4","","","/g/11yk1rsxj6","4.8","23","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Święty Marcin 11/4","2026-03-04 15:53:21.136434",,,,,,,,,"https://google.com/maps?cid=18082595111850639897","https://invoice-tax.pl",,,,,,,,,,,,,"61-803"
,,,,,,,"Identifies as women-owned",,,,,,,,"os. Jagiellońskie 114/1, 61-222 Poznań, Poland","Accountant","Accounting firm","Bookkeeping service","Income tax help association","Tax preparation","Tax preparation service",,,,"2956923270749594996","Poznań","PL","us","United States","65","0x47045b076cd15c85:0x29091a0c5d1da574","Yes","en","English","52.3904287","","16.952167199999998","AKAMA Dorota Wysocka","Nowe Miasto","84","61 875 05 67","+48 61 875 05 67","https://lh3.googleusercontent.com/gps-cs-s/AHVAweorSfnoaEzq2mOm0LhO4I_H49JnwPZ_P9ldGBptsKfwwJQt8VaTI8Uq-cT0_rAuj60oKyKI6sTSkqAD94KL50N1BzMWoGfV-5QU8Cek-GFSeG7Qj9BnU43NK1mfk-o2pa7YK58=w10000-h5000-k-no-pi-0-ya314.56-ro0-fo100","8","YEeoaaLSGLvcptQPrO6x0A4","","","/g/1w97t2n0","4.6","9","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","os. Jagiellońskie 114/1","2026-03-04 15:53:21.136451","biuro@brdw.pl","sprzedaz.wapro@assecobs.pl","aga.wysocka@poczta.onet.pl","prefrow@preffow.com.pl",,,,,"https://google.com/maps?cid=2956923270749594996","https://wysocka-biuro-rachunkowe.pl",,,,,,,,,,,,,"61-222"
,,,,,,,,,,,,,,,"osiedle Polan 32, 61-253 Poznań, Poland","Accountant",,,,,,,,,"8656253221011485451","Poznań","PL","us","United States","66","0x47045baaa430cb37:0x782130711438730b","Yes","en","English","52.3834039","","16.9596227","Profit. Biuro rachunkowe","Nowe Miasto","85","514 955 639","+48 514 955 639","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqqUzw11YXzWypAdU5ky4aexpYHL92kZ3wkdGiIoCBpwn_mdbv53FI6RVOiQlCqjWGz5qccMMyEHAlVUW12CN9Gruq4ahaPP5V0MVF2Gxa3V0NcVzn5jM6AbSHUT5s8u4aWXHrs=w5249-h3225-k-no","5","YEeoaaLSGLvcptQPrO6x0A4","","","/g/1pt_5nql0","3","2","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","osiedle Polan 32","2026-03-04 15:53:21.136464",,,,,,,,,"https://google.com/maps?cid=8656253221011485451","https://profitrachunki.pl","biuro@profitrachunki.pl",,,,,,,,,,,,"61-253"
,,,,,,,"Identifies as women-owned",,,,,,,,"Strzeszyńska 269, 60-479 Poznań, Poland","Accountant","Accounting firm","Tax consultant",,,,,,,"897855170936163319","Poznań","PL","us","United States","67","0x470443a37ebada67:0xc75d2855b65cbf7","Yes","en","English","52.4621218","","16.869111099999998","Kancelaria Podatkowa SAS TAX - Księgowość, Doradztwo i Kadry w jednym miejscu","Jeżyce, Poznań","86","504 968 218","+48 504 968 218","https://lh3.googleusercontent.com/gps-cs-s/AHVAweprUgfGIWwXzieYjlsEQK3cexKK6atxmnkj1o2JibsGABmVwMJHhNSJm2FypbFtEBNDKjsOleThkG9LWF6aXpsgeo1hYZ6J8I3aoMg-lf4_EVH2IgAJTe1yA_HUyn1GlNxVv_qBkw=w4032-h3024-k-no","10","YEeoaaLSGLvcptQPrO6x0A4","","","/g/11cl_ksjpq","4.7","15","Poznan, Polska","biuro rachunkowe","",,,,,,"","Open","Strzeszyńska 269","2026-03-04 15:53:21.136478",,,,,,,,,"https://google.com/maps?cid=897855170936163319","https://sastax.pl",,,,,,,,,,,,,"60-479"
